,shape,color,texture
0,0,30,12
14,0,8,34
13,0,46,10
12,0,26,28
11,0,26,2
9,0,23,15
8,0,15,3
10,0,24,3
6,0,30,3
5,0,14,28
4,0,16,45
3,0,38,41
2,0,31,5
1,0,1,10
7,0,37,3
23,1,12,33
29,1,46,29
28,1,7,48
27,1,42,3
26,1,22,43
24,1,20,12
22,1,9,4
25,1,3,48
20,1,16,28
19,1,45,34
18,1,30,18
17,1,34,42
16,1,27,47
15,1,26,32
21,1,43,34
44,2,10,27
43,2,29,47
42,2,43,43
41,2,33,3
40,2,7,42
39,2,12,32
38,2,39,47
37,2,41,4
35,2,25,30
34,2,19,27
33,2,7,30
32,2,42,31
31,2,17,4
30,2,2,10
36,2,31,15
54,3,14,41
59,3,38,26
58,3,47,31
57,3,30,16
56,3,48,6
55,3,5,6
53,3,41,43
48,3,5,32
51,3,39,35
50,3,48,6
49,3,49,39
52,3,29,33
47,3,11,11
46,3,12,25
45,3,31,35
73,4,35,26
72,4,25,0
71,4,3,0
70,4,32,22
69,4,34,17
68,4,4,22
67,4,29,37
74,4,46,24
65,4,8,6
64,4,7,22
63,4,11,40
62,4,8,2
61,4,13,37
60,4,35,41
66,4,6,2
89,5,4,25
88,5,1,15
87,5,23,9
86,5,39,8
85,5,14,18
84,5,26,17
83,5,34,44
82,5,11,44
80,5,4,31
79,5,43,40
78,5,40,45
77,5,3,8
76,5,27,46
75,5,26,21
81,5,36,46
99,6,41,12
104,6,18,47
103,6,28,13
102,6,48,28
101,6,23,12
100,6,13,36
98,6,45,16
93,6,16,13
96,6,42,29
90,6,26,48
91,6,25,4
92,6,35,16
97,6,37,45
94,6,11,7
95,6,3,5
118,7,39,4
117,7,28,44
116,7,22,41
115,7,20,1
114,7,8,24
113,7,25,20
112,7,43,28
119,7,10,43
110,7,9,31
109,7,4,1
108,7,7,41
107,7,8,12
106,7,10,49
105,7,24,19
111,7,12,18
134,8,17,8
133,8,40,42
132,8,32,19
131,8,25,42
130,8,44,28
129,8,34,4
128,8,39,17
127,8,22,23
125,8,38,32
124,8,35,38
123,8,33,28
121,8,35,13
120,8,18,5
126,8,40,25
122,8,10,39
149,9,22,47
143,9,36,36
148,9,31,42
147,9,4,44
146,9,15,34
145,9,41,17
144,9,41,20
142,9,10,44
140,9,27,3
139,9,29,45
138,9,39,9
137,9,27,2
136,9,22,17
135,9,42,21
141,9,24,48
163,10,0,7
162,10,5,45
161,10,19,47
160,10,49,9
159,10,13,36
158,10,2,19
157,10,31,12
164,10,30,5
155,10,46,9
154,10,41,9
153,10,6,36
152,10,0,6
151,10,14,35
150,10,9,2
156,10,21,0
179,11,40,26
178,11,27,4
177,11,24,40
176,11,48,26
175,11,23,32
174,11,44,4
173,11,2,45
172,11,25,13
170,11,43,24
169,11,2,20
168,11,36,23
167,11,49,14
166,11,40,17
165,11,42,11
171,11,1,4
189,12,22,38
194,12,15,22
193,12,30,1
192,12,26,1
191,12,48,13
190,12,7,8
188,12,30,32
183,12,37,7
186,12,0,30
180,12,36,14
181,12,11,20
182,12,6,17
187,12,47,39
184,12,44,48
185,12,18,29
209,13,43,31
208,13,8,25
207,13,44,15
206,13,14,21
205,13,20,6
203,13,0,36
202,13,38,21
204,13,14,8
200,13,4,34
199,13,2,26
198,13,29,45
197,13,18,29
196,13,14,8
195,13,16,9
201,13,18,23
219,14,23,36
224,14,49,3
223,14,21,24
222,14,29,23
221,14,24,20
220,14,25,31
218,14,32,21
211,14,1,10
216,14,26,5
215,14,20,29
214,14,15,33
213,14,5,21
212,14,34,5
210,14,31,38
217,14,27,44
235,15,25,20
239,15,12,40
238,15,2,12
237,15,38,41
236,15,13,25
233,15,49,27
234,15,26,47
232,15,26,46
230,15,7,20
231,15,19,43
229,15,4,29
