,4,7,10,17,27,43
1,0.3706,0.2922,0.3148,0.4144,0.4332,0.533
2,0.6,0.6644,0.6034,0.7272,0.8004,0.9364
3,0.5992,0.6932,0.826,0.8442,0.9388,0.9824
4,0.6066,0.8586,0.861,0.9338,0.9614,0.9952
5,0.8034,0.804,0.8552,0.9664,0.9902,0.9982
6,0.8834,0.9084,0.9584,0.9812,0.9896,0.9978
7,0.892,0.8692,0.9524,0.9844,0.9986,1.0
8,0.847,0.9182,0.9902,0.9932,0.9986,1.0
9,0.8474,0.8582,0.98,0.996,0.9952,0.9992
10,0.8894,0.9428,0.968,0.9886,0.997,1.0
11,0.8936,0.8828,0.9688,0.987,0.9986,1.0
12,0.9148,0.939,0.9698,0.988,0.9962,0.9994
13,0.9162,0.9218,0.9628,0.995,0.9966,0.9994
14,0.9214,0.9564,0.9862,0.9926,0.9992,1.0
