epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,165,1,0,1,1
1,87,1,1,1,1
2,106,2,1,1,1
3,107,3,1,1,1
4,69,4,1,2,1
5,67,4,1,2,1
6,70,4,1,3,1
7,108,5,1,3,1
8,89,6,1,3,1
9,133,7,2,4,1
10,91,8,2,5,1
11,149,10,3,5,1
12,134,10,4,5,2
13,139,10,4,5,2
14,137,10,4,5,2
15,133,11,4,5,2
16,166,14,5,5,2
17,158,16,7,6,2
18,185,18,10,6,2
19,179,20,10,6,2
20,197,23,10,6,2
21,206,25,10,6,2
22,188,25,14,6,2
23,214,25,14,6,2
24,227,25,14,6,3
25,251,25,15,6,3
26,248,26,15,6,3
27,252,27,17,6,3
28,225,28,18,6,3
29,272,30,20,6,3
30,268,31,22,7,3
31,280,33,23,7,3
32,263,33,23,7,3
33,271,35,25,7,4
34,290,35,26,7,4
35,275,35,26,7,4
36,277,35,27,7,4
37,282,35,28,7,4
38,265,35,30,7,4
39,281,35,30,7,4
40,278,35,30,7,4
41,296,35,32,7,4
42,289,35,32,7,4
43,281,35,32,7,4
44,284,35,32,7,4
45,283,35,32,7,4
46,288,35,32,7,4
47,298,35,33,7,4
48,295,35,33,7,4
49,279,35,33,7,4
50,311,35,33,7,4
51,305,35,34,7,4
52,301,35,34,7,4
53,312,35,35,7,4
54,300,35,35,7,4
55,302,36,35,7,4
56,304,36,35,7,4
57,289,36,35,8,4
58,299,36,35,8,4
59,296,36,35,8,4
60,297,36,35,8,4
61,307,36,35,8,4
62,312,36,35,8,4
63,308,36,35,8,4
64,325,36,35,9,4
65,308,36,35,9,4
66,314,36,35,9,5
67,315,36,35,9,5
68,311,36,36,9,5
69,318,36,36,9,5
70,302,36,36,9,5
