epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,2,1,1,1,1
1,3,1,1,1,1
2,4,1,1,1,1
3,5,4,2,1,1
4,5,7,4,2,1
5,4,7,4,2,1
6,6,8,4,2,1
7,6,8,4,2,1
8,6,9,4,2,1
9,6,10,4,2,1
10,6,12,8,2,1
11,6,12,8,2,1
12,6,12,8,2,1
13,5,13,9,2,1
14,7,15,9,2,1
15,6,19,10,2,1
16,6,20,10,2,1
17,6,21,10,2,1
18,5,23,13,2,1
19,5,25,13,2,1
20,9,26,16,2,1
21,5,29,16,2,1
22,7,31,16,2,1
23,9,32,19,2,1
24,7,33,23,2,1
25,8,34,24,3,1
26,7,34,25,3,1
27,7,34,26,3,1
28,8,37,27,3,1
29,8,37,27,3,1
30,8,39,27,3,1
31,8,41,29,3,1
32,7,41,30,3,1
33,8,41,31,3,1
34,8,42,31,3,1
35,8,42,31,3,1
36,8,43,32,3,1
37,8,45,32,3,1
38,8,45,32,3,1
39,8,46,32,3,1
40,8,46,32,3,1
41,8,46,33,3,1
42,8,46,34,3,1
43,8,46,36,3,1
44,8,46,37,3,1
45,8,46,39,3,1
46,8,46,39,3,1
47,8,46,40,3,1
48,8,47,40,3,1
49,8,47,40,3,1
50,8,47,40,3,1
51,8,47,41,3,1
52,8,47,42,3,1
53,8,47,43,3,1
54,8,47,43,3,1
55,8,47,43,3,1
56,8,47,43,3,1
57,8,47,44,3,1
58,8,47,44,3,1
59,8,47,44,3,1
60,8,47,45,3,1
61,8,47,45,3,1
62,8,47,46,3,1
63,8,47,46,3,1
64,8,47,46,3,1
65,8,47,46,3,1
66,8,48,46,3,1
67,8,48,46,3,1
68,8,48,46,3,1
69,8,48,46,3,1
70,8,48,46,3,1
71,8,48,46,3,1
72,8,48,46,3,1
73,8,48,46,3,1
74,8,48,46,3,1
75,8,48,46,3,1
76,8,48,47,3,1
77,8,48,47,3,1
78,8,48,47,3,1
79,8,48,47,3,1
80,8,48,47,3,1
81,8,48,47,3,1
82,8,48,47,3,1
83,8,48,47,3,1
84,8,48,48,3,1
85,8,48,48,3,1
86,8,48,48,3,1
87,8,48,48,3,1
88,8,48,48,3,1
89,8,48,48,3,1
90,8,48,48,3,1
91,8,48,48,3,1
92,8,48,48,3,1
93,8,48,48,3,1
94,8,48,48,3,1
95,8,48,48,3,1
96,8,48,48,3,1
97,8,48,48,3,1
98,8,48,48,3,1
99,8,48,48,3,1
100,8,48,48,3,1
