epoch,trainLoss,trainAcc,secondOrderAcc,vocabSize50,vocabSize80
0,3.6262431144714355,0.07111111283302307,0.4305,1,1
1,3.214435577392578,0.07555555552244186,0.4115,1,1
2,3.1702022552490234,0.09333333373069763,0.4805,2,0
3,3.1330795288085938,0.08444444090127945,0.4545,1,0
4,3.1000447273254395,0.09333333373069763,0.415,0,0
5,3.0653507709503174,0.09333333373069763,0.3675,0,0
6,3.0374183654785156,0.07555555552244186,0.3225,1,0
7,3.0035605430603027,0.08444444090127945,0.3165,1,1
8,2.9798974990844727,0.0533333346247673,0.3225,1,0
9,2.9416866302490234,0.08888889104127884,0.3325,1,0
10,2.9092023372650146,0.1111111119389534,0.361,2,0
11,2.884871006011963,0.15111111104488373,0.331,1,0
12,2.850114583969116,0.1688888818025589,0.3645,3,2
13,2.8321352005004883,0.09777777642011642,0.4075,2,0
14,2.7938318252563477,0.06666667014360428,0.348,1,1
15,2.780287027359009,0.18222221732139587,0.3185,1,0
16,2.7391457557678223,0.2133333384990692,0.4335,2,2
17,2.680586576461792,0.20000000298023224,0.4145,2,1
18,2.644690990447998,0.29777777194976807,0.404,4,2
19,2.5465500354766846,0.3199999928474426,0.41,5,3
20,2.4485597610473633,0.25777778029441833,0.4205,4,3
21,2.381953239440918,0.36444443464279175,0.399,6,3
22,2.276082992553711,0.3288888931274414,0.4815,5,4
23,2.15478515625,0.35111111402511597,0.543,6,3
24,2.124279260635376,0.43111109733581543,0.483,6,5
25,2.043891668319702,0.40888887643814087,0.5755,8,4
26,1.9427586793899536,0.5066666603088379,0.6125,8,5
27,2.030263662338257,0.4977777898311615,0.4715,8,6
28,1.9651623964309692,0.4444444477558136,0.5205,6,4
29,1.8526787757873535,0.43111109733581543,0.5755,6,4
30,1.7641621828079224,0.6355555653572083,0.535,10,8
31,1.7954411506652832,0.5777778029441833,0.5045,10,5
32,1.8141891956329346,0.6088888645172119,0.4245,11,7
33,1.6741254329681396,0.7111111283302307,0.48,13,7
34,1.4916020631790161,0.6266666650772095,0.571,9,7
35,1.3631858825683594,0.6933333277702332,0.5455,11,6
36,1.3183679580688477,0.7111111283302307,0.5895,12,8
37,1.400471806526184,0.7200000286102295,0.5545,13,7
38,1.2341774702072144,0.804444432258606,0.6225,14,11
39,1.2646366357803345,0.7244444489479065,0.629,12,6
40,1.2531344890594482,0.7777777910232544,0.5215,14,9
41,1.2297972440719604,0.7111111283302307,0.562,13,7
42,1.281158208847046,0.7911111116409302,0.4875,13,11
43,1.0226318836212158,0.8266666531562805,0.588,14,11
44,1.1554436683654785,0.8088889122009277,0.587,14,11
45,1.2346696853637695,0.7688888907432556,0.4175,12,10
46,1.0237336158752441,0.8444444537162781,0.5635,14,11
47,1.174702763557434,0.653333306312561,0.637,10,8
48,0.91801917552948,0.8311111330986023,0.6305,14,11
49,0.9839001893997192,0.8133333325386047,0.606,14,11
50,0.9969456195831299,0.8355555534362793,0.569,14,11
51,0.8937079310417175,0.8177777528762817,0.66,14,9
52,0.8583237528800964,0.8177777528762817,0.6225,13,12
