epoch,trainLoss,trainAcc,secondOrderAcc,vocabSize50,vocabSize80
0,4.00606640179952,0.033333332108126744,0.2865,1,1
1,3.8454983562893337,0.05111111110283269,0.227,0,0
2,3.768922176361084,0.051111110837923156,0.2185,0,0
3,3.7042941856384277,0.0577777770989471,0.25,1,1
4,3.643155994415283,0.07333333265450266,0.207,2,0
5,3.5940541627671982,0.042222220997015635,0.2305,1,1
6,3.550726664861043,0.05111111001835929,0.2745,1,1
7,3.4982866509755453,0.08666666653007268,0.29,2,2
8,3.4502308951483833,0.14444444427887598,0.3695,3,1
9,3.4243260701497396,0.1288888884584109,0.3075,3,3
10,3.3499158795674644,0.16888888710074954,0.413,6,3
11,3.283027328915066,0.09555555446280374,0.431,1,1
12,3.246854672961765,0.09777777774466409,0.494,2,1
13,3.1019943936665855,0.22222221626175775,0.513,7,4
14,3.0770394643147787,0.2888888847827911,0.454,8,5
15,2.8858600076039633,0.27555555277400545,0.5535,7,6
16,2.774327095879449,0.3555555538336436,0.5075,9,6
17,2.7652791659037272,0.27111110687255857,0.5365,7,5
18,2.681892148123847,0.3311111089918349,0.6215,9,6
19,2.5443288612365724,0.4399999878141615,0.609,12,7
20,2.353252829445733,0.48666665660010444,0.6205,17,10
21,2.4838850116729736,0.46666666825612385,0.544,14,8
22,2.287071631749471,0.5266666587193807,0.58,17,9
23,2.2400246980455187,0.6000000058280097,0.6125,20,10
24,2.0563489225175644,0.48444444868299696,0.644,14,10
25,2.0283991871939766,0.6444444508022732,0.6065,21,13
26,1.9929168542226157,0.5577777820163303,0.6125,18,10
27,1.9411594194836086,0.6422222169240316,0.671,21,13
28,1.7237122170130412,0.6466666603088379,0.636,22,15
29,1.9118863095177545,0.6777777846654256,0.6315,23,12
30,1.7387115653355916,0.6511111177338494,0.6255,23,12
31,1.6734056965510051,0.6711111193233066,0.6885,22,16
32,1.6261170954174466,0.6777777724795871,0.621,23,14
33,1.6179709794786241,0.7222222314940558,0.7335,24,17
34,1.4909643279181586,0.7044444410006205,0.7125,22,14
35,1.5507860321468776,0.7377777873145209,0.6835,26,16
36,1.4235081598493788,0.720000007947286,0.659,24,16
37,1.3731974119610257,0.7044444396760728,0.755,24,16
38,1.4856871196958754,0.7400000095367432,0.6715,25,18
39,1.3214104800754123,0.7622222309642368,0.699,26,17
40,1.2296433803770277,0.802222220102946,0.763,29,20
41,1.3188263755374485,0.7755555653572083,0.6635,25,19
42,1.2902953227361043,0.7244444518619113,0.7045,23,17
43,1.3440875800450642,0.7866666629579332,0.705,27,19
44,1.122552818192376,0.7955555658870274,0.7375,28,20
45,1.1503455389870538,0.8222222328186035,0.661,29,20
46,1.0304696951972114,0.8577777886390686,0.7395,29,23
47,1.0916496438450283,0.8533333444595337,0.726,28,25
48,1.0683222908443875,0.8111111209127638,0.7245,27,21
49,1.089310978518592,0.8533333447244432,0.6805,28,24
50,1.07022345383962,0.8244444415304396,0.7485,28,20
51,1.029957073264652,0.8377777891688877,0.764,28,23
52,0.8764459005991618,0.871111122502221,0.7845,29,25
53,1.1776753685209487,0.7799999952316284,0.741,27,20
54,0.9906870169109768,0.8444444420602587,0.6945,29,22
55,0.9721641725964016,0.8822222333484225,0.7365,30,22
56,1.2038460222880045,0.6955555523766411,0.771,21,18
57,0.9826465227868821,0.8911111230320401,0.8,29,27
58,0.827821691830953,0.9088888878292508,0.754,30,27
59,0.9241334538989597,0.882222233083513,0.75,28,26
60,0.9211843339602153,0.8800000111262004,0.719,30,25
61,0.8940436018837823,0.8800000116560194,0.7185,29,26
62,0.8088502179251776,0.9155555672115749,0.771,30,26
63,0.8738720332251655,0.8688889002799988,0.7765,29,26
64,0.8422493121359084,0.8800000108612909,0.721,29,25
65,0.737162283261617,0.9133333325386047,0.784,29,27
66,0.8224893731541104,0.846666677792867,0.803,28,23
67,0.8383553952640957,0.9177777899636163,0.7075,30,28
68,0.7304449388715956,0.9088888880941602,0.804,29,28
69,0.6484870111942291,0.931111110581292,0.778,30,29
70,0.840089508427514,0.9199999992052714,0.7345,29,29
71,0.7061165483792623,0.9377777769830492,0.7165,30,29
72,0.7981108869446648,0.8933333312140571,0.7645,30,28
73,0.6685704424646166,0.9266666656070285,0.7945,30,28
74,0.6792137328783671,0.944444456630283,0.8035,30,27
75,0.6860311351882087,0.9400000116560194,0.7565,30,29
76,0.6876586977640787,0.9222222344080607,0.7015,30,26
77,0.5701088897387186,0.9444444568951925,0.807,30,30
78,0.6235548877716064,0.9466666664017571,0.728,30,28
79,0.7271612124972874,0.9177777896987067,0.7705,30,27
80,0.616437463760376,0.9377777899636163,0.808,30,29
81,0.543606053325865,0.9688888886239794,0.7755,30,29
82,0.5411183722813924,0.9533333455191718,0.764,30,29
83,0.6128911693890889,0.9666666664017571,0.754,30,30
84,0.6464435554875267,0.9533333330684238,0.749,30,29
85,0.665615512530009,0.95111112303204,0.7435,30,30
86,0.5435342845651838,0.9533333330684238,0.753,30,29
87,0.5480448271168603,0.9533333457840814,0.77,30,29
88,0.5530914021862878,0.9711111238267687,0.7485,30,29
89,0.6385885004202525,0.9200000121858385,0.7505,29,29
90,0.6064763391017913,0.9577777902285258,0.7175,30,30
91,0.6247411048412324,0.9222222341431512,0.7305,30,27
92,0.6601935246255662,0.920000011920929,0.7345,30,28
93,0.4926437915696038,0.9688888883590698,0.8095,30,30
94,0.5405896225240495,0.9511111235618591,0.8025,30,30
95,0.5388396763801575,0.9600000127156576,0.8275,30,30
96,0.5100117259555392,0.9666666793823242,0.7325,30,29
97,0.48660664399464926,0.9777777775128682,0.809,30,30
98,0.4966299631860521,0.9466666664017571,0.854,30,28
99,0.5218102404806348,0.9533333325386047,0.761,30,30
100,0.4531631565093994,0.9777777775128682,0.8455,30,30
